destino,actividad1,precio1,actividad2,precio2,similitud_%
Valle de Cocora,Walking Tour Económico por Salento y Valle de Cocora – COMPARTIDO,$283.000,Tour por Salento y Valle de Cocora,283.000 COP,76.49
Cartagena,"Citytour en Cartagena por la tarde: historia, cultura y lugares icónicos",$199.000,Tour de las leyendas de Cartagena,345.000 COP,76.47
Villa de Leyva,Recorrido de 1 Hora en Cuatrimoto en Villa de Leyva,$115.000,Excursión a Villa de Leyva,440.000 COP,76.31
Gambita,"Pasadía en la Cueva del Chocó y Cascada El Bastón, Santander",$90.000,Excursión a la Ciénaga Grande de Santa Marta,446.040 COP,76.29
Santander,"Pasadía en la Cueva del Chocó y Cascada El Bastón, Santander",$90.000,Excursión a la Ciénaga Grande de Santa Marta,446.040 COP,76.29
Pereira,Balsaje por el Río la Vieja desde la ciudad de Pereira,$180.000,Excursión a las veredas La Herrera y Serranías,100.000 COP,76.16
Medellín,Tour a la Reserva Natural Cañon Del Río Claro desde Medellín,$252.000,Excursión a la Reserva Natural El Danubio,650.000 COP,76.09
Mesetas,Rafting por el Cañón del Río Güejar+Senderismo+Tubing en el Río Cafre. Más hospedaje,$820.000,Rafting en el cañón del río Güejar,780.000 COP,76.08
Montenegro,Pasadía Parque Acuático Las Bailarinas desde Manizales y Pereira,$190.000,Excursión al Parque Nacional Puracé + Avistamiento del cóndor andino,350.000 COP,75.94
Pereira,Excursión a Panaca desde Manizales y Pereira,$242.000,Excursión a Cayo Acuario,114.114 COP,75.88
Jardín,"Senderismo por la Ruta de Los Tres Altos en Jardín, Antioquia",$210.000,Senderismo por el Camino Real hasta Guane,80.000 COP,75.28
Leticia,Plan Parque Mundo Amazónico: Caminata Nocturna,$90.000,Senderismo por la selva amazónica,469.000 COP,75.24
Amazonas,Plan Parque Mundo Amazónico: Caminata Nocturna,$90.000,Senderismo por la selva amazónica,469.000 COP,75.24
Villa de Leyva,Taller de Barro en Ráquira Saliendo de Villa de Leyva,$64.000,Tour por el castillo San Felipe de Barajas y el Cerro de la Popa,159.155 COP,75.18
Pereira,Excursión al Santuario de Fauna y Flora Otún Quimbaya,$420.000,Excursión al Jardín Botánico del Quindío,518.335 COP,75.09
Buenavista,"Vuelo en Parapente de 15 minutos en Buenavista, Quindío",$140.000,Vuelo en parapente por Guatapé,350.000 COP,74.99
